ID Conexion unico;Usuario;Inicio de Conexion;Fin de Conexio;Session Time;Input Octects;Output Octects;MAC AP;MAC Cliente;
f10be9301bcb139a;csegeview;28/08/2019 10:06;28/08/2019 10:06;12;2354;559;04-18-D6-22-94-E7:UM;48-C7-96-EE-75-1C;
9c79c33655402769;invitede-pansew;28/08/2019 10:06;28/08/2019 10:16;607;26668;4504;04-18-D6-82-C5-46:UM;48-C7-96-31-BA-ED;
de16217fd034fa68;invitede-pansew;28/08/2019 10:06;28/08/2019 10:10;236;3531;2708;04-18-D6-82-C5-46:UM;30-4B-07-8A-CF-DF;
01937968f39ee714;csegeview;28/08/2019 10:06;02/10/2019 11:02;11;0;0;04-18-D6-22-8E-6D:UM;48-C7-96-EE-75-1C;
b83a1489ae7fbdc5;invitede-pansew;28/08/2019 10:06;26/09/2019 12:48;119;184328;3323107;04-18-D6-21-38-E1:UM;60-1D-91-78-43-74;
98dfb4d9973c5926;ppriow;28/08/2019 10:06;29/08/2019 11:47;165;0;0;04-18-D6-22-9B-4C:UM;5C-93-A2-81-C9-D1;
cd01c0cab7ec91d1;rmensur;28/08/2019 10:07;28/08/2019 10:07;37;5682;5099;04-18-D6-22-8E-6D:UM;DC-CF-96-B2-81-0E;
7f54308a9c004925;csegeview;28/08/2019 10:07;28/08/2019 10:07;1;424;334;04-18-D6-22-94-E7:UM;48-C7-96-EE-75-1C;
2ea391d514ff6012;csegeview;28/08/2019 10:07;28/08/2019 10:07;19;4954;7428;04-18-D6-22-8E-6D:UM;48-C7-96-EE-75-1C;
